record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction
rec-fdf0942f07d80eeb611eadd25292c74b8c2eb3fd551689c6c9189083581b0b0e,src-aafe6f49f0c58c243368b322fc47c88a0205e19159839ac7001362f1f9ba5210,s_OL1603 [26368],Cu,Cu,11.18,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,176,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=176,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-84dd752c2d60b0879680a8efe8da417127e0aa9fe8f4f056c271ea2f1b5ccdbd,src-aafe6f49f0c58c243368b322fc47c88a0205e19159839ac7001362f1f9ba5210,s_OL1603 [26368],Zn,Zn,89.93,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,176,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=176,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-559e2e2d7768e190b4a1c9f9cd652b6b7d728cc97bfb61a66d08332da0bbc5d4,src-d74fc995fad9e44149c4ba8e06b7fbcaf94d2fe37563c44e6316b2c146d198d2,s_OL16100 [26368],Cu,Cu,8.16,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,177,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=177,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-10452e41be197269732c4c59291b2d89407b9e19f21d174e05e262a4dcc99a72,src-d74fc995fad9e44149c4ba8e06b7fbcaf94d2fe37563c44e6316b2c146d198d2,s_OL16100 [26368],Zn,Zn,100.2,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,177,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=177,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-46234687022649ed35297eb194833be7693ead7f58b573195ac68422fcd8c0f3,src-6aefd743323b695e9b08c447d2557cfdf4a5726763aa450f2c4bcbe8c573a110,s_O-19-2 [26368],Cu,Cu,114,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,178,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=178,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-bc8714bde708122fa6f1585c5abf65c18c6b48696b028e18018f09df8ac64b08,src-6aefd743323b695e9b08c447d2557cfdf4a5726763aa450f2c4bcbe8c573a110,s_O-19-2 [26368],Zn,Zn,110,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,178,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=178,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-122fe8b06145d7558e79935d84f8ef8bb216d45ff1549a46210f53db3b76a9ba,src-ded12c5a209cad597d79ec918b0004895542770638dfd9c448da4f60e83476af,s_OL1608 [26368],Cu,Cu,65.42,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,179,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=179,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-5929ecc9eff1de7bf6d4e2699a2766fb66fed52f665cd9456bcc07f6929211e1,src-ded12c5a209cad597d79ec918b0004895542770638dfd9c448da4f60e83476af,s_OL1608 [26368],Zn,Zn,96.9,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,179,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=179,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-fc4bd5472a13dca6d550d3649a6cc0d29c139b8f8bd421f8e014e069862ffd25,src-740c2442d8859be48c6c21ba47e6512c05f3468ec4aa66bb0915befc4dec08b1,s_OL1606 [26368],Cu,Cu,22.69,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,180,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=180,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-f3fce768775e94a1f4a0b149c7fe58db5cfef317310ecb335cc9c56a6be0d7db,src-740c2442d8859be48c6c21ba47e6512c05f3468ec4aa66bb0915befc4dec08b1,s_OL1606 [26368],Zn,Zn,125.2,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,180,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=180,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
