site,v_t,lat_t,lon_t,v_s,lat_s,lon_s,log2_ratio
47.11_17.82,0.06942,47.109632138889,17.815036388889,0.04114,47.109632138889,17.815036388889,0.754809571303712
47.12_10.24,0.04476,47.12139,10.24417,0.02729,47.12139,10.24417,0.7138376417022536
47.14_-1.27,0.02906,47.14,-1.27,0.01572,47.14,-1.27,0.8864334853742346
47.14_1.23,0.05037,47.14,1.23,0.04263,47.14,1.23,0.24069567569424957
47.14_7.02,0.07577,47.14,7.02,0.0376,47.14,7.02,1.0108940859881848
47.22_11.89,0.3661,47.22333,11.89278,0.1754,47.22333,11.89278,1.0615890258598124
47.31_17.68,0.0369,47.314498444444,17.684429305556,0.04195,47.314498444444,17.684429305556,-0.18504999437942724
47.34_7.44,0.05693,47.343,7.443,0.05595,47.343,7.443,0.025050968527389993
47.36_16.75,0.08231,47.360649777778,16.751937027778,0.01576,47.360649777778,16.751937027778,2.3848001822923983
47.36_2.44,0.05625,47.36,2.44,0.02947,47.36,2.44,0.9326060358677616
47.43_12.79,0.112,47.4275,12.78722,0.06649,47.4275,12.78722,0.7522894494925164
47.44_15.9,0.05044,47.4425,15.89722,0.03505,47.4425,15.89722,0.5251538314302343
47.47_4.01,0.03365,47.47,4.01,0.03563,47.47,4.01,-0.08248597863562009
47.51_4.33,0.0595,47.51,4.33,0.03087,47.51,4.33,0.9466841854675434
47.55_21.91,0.01116,47.548749805556,21.906311611111,0.00827,47.548749805556,21.906311611111,0.43237779265791304
47.63_-1.61,0.02999,47.63,-1.61,0.01692,47.63,-1.61,0.8257519537487903
47.6_-2.3,0.04414,47.6,-2.3,0.03403,47.6,-2.3,0.3752794783146057
47.71_18.76,0.03963,47.714294444444,18.760535305556,0.01436,47.714294444444,18.760535305556,1.4645372181449323
47.72_11.56,0.2701,47.725,11.55722,0.1516,47.725,11.55722,0.8332238863378754
47.73_-2.99,0.05845,47.73,-2.99,0.0413,47.73,-2.99,0.501061243112211
47.81_9.76,0.1272,47.8138,9.7638,0.08319,47.8138,9.7638,0.612616648411083
47.82_3.1,0.05529,47.82,3.1,0.03296,47.82,3.1,0.7463023291686509
47.83_1.11,0.04993,47.83,1.11,0.03048,47.83,1.11,0.7120440038367707
47.83_5.66,0.0411,47.83,5.66,0.02843,47.83,5.66,0.5317242948915177
47.84_7.94,0.1153,47.84,7.94,0.06973,47.84,7.94,0.7255411262523359
47.86_0.76,0.04127,47.86,0.76,0.03339,47.86,0.76,0.30567734494391885
47.89_8.43,0.1367,47.8916,8.425,0.02071,47.8916,8.425,2.7226137842729106
47.91_19.59,0.04755,47.911506083333,19.5870585,0.03215,47.911506083333,19.5870585,0.5646266035326162
47.95_-2.46,0.03928,47.95,-2.46,0.0422,47.95,-2.46,-0.10344806927985431
47.98_20.52,0.05967,47.978168944444,20.524061555556,0.05984,47.978168944444,20.524061555556,-0.004104398332736507
48.02_14.73,0.04906,48.02139,14.72667,0.02738,48.02139,14.72667,0.8414247872997024
48.03_-3.44,0.04075,48.03,-3.44,0.02344,48.03,-3.44,0.7978274895835545
48.11_10.07,0.1095,48.1075,10.0705,0.05976,48.1075,10.0705,0.8736788165866609
48.11_4.4,0.02919,48.11,4.4,0.00782,48.11,4.4,1.9002336981949153
48.16_18.3,0.07223,48.15914,18.304191,0.02719,48.15914,18.304191,1.4095220190163955
48.16_2.34,0.03725,48.16,2.34,0.0364,48.16,2.34,0.033301975150827536
48.18_8.76,0.1536,48.177,8.758,0.06267,48.177,8.758,1.293331317820254
48.19_-3.88,0.06142,48.19,-3.88,0.05242,48.19,-3.88,0.228591158647457
48.19_11.9,0.1348,48.192,11.899,0.07705,48.192,11.899,0.8069536346670733
48.1_-1.86,0.03242,48.1,-1.86,0.03742,48.1,-1.86,-0.20692546772324277
48.22_0.64,0.0359,48.22,0.64,0.06406,48.22,0.64,-0.83543995406427
48.23_18.92,0.08603,48.231582,18.917466,0.04191,48.231582,18.917466,1.0375453162996464
48.29_20.06,0.02961,48.292364,20.056784,0.02055,48.292364,20.056784,0.5269460966085089
48.37_-2.25,0.03248,48.37,-2.25,0.02531,48.37,-2.25,0.3598441250744922
48.37_12.77,0.1013,48.368,12.771,0.02864,48.368,12.771,1.8225307764242442
48.39_5.63,0.04755,48.39,5.63,0.01217,48.39,5.63,1.9661161730341974
48.41_4.95,0.02504,48.41,4.95,0.02132,48.41,4.95,0.23202712417344254
48.42_18.01,0.121,48.418132,18.005185,0.03311,48.418132,18.005185,1.8696681316523198
48.45_-1.46,0.06257,48.45,-1.46,0.04128,48.45,-1.46,0.6000281332760844
48.47_10.6,0.08414,48.469,10.599,0.05734,48.469,10.599,0.553249913528266
48.47_6.37,0.03706,48.47,6.37,0.00967,48.47,6.37,1.9382750865504246
48.47_7.21,0.1239,48.47,7.21,0.09022,48.47,7.21,0.4576569963086109
48.49_22.04,0.06488,48.487406,22.042488,0.05802,48.487406,22.042488,0.16122352401927545
48.53_1.68,0.1145,48.53,1.68,0.05145,48.53,1.68,1.1541046160903379
48.57_-0.7,0.03543,48.57,-0.7,0.01904,48.57,-0.7,0.89593798681037
48.57_13.73,0.1923,48.573,13.728,0.05365,48.573,13.728,1.8417086865833752
48.59_-3.92,0.07678,48.59,-3.92,0.04253,48.59,-3.92,0.8522497052211859
48.5_16.96,0.04484,48.497228,16.960603,0.00904,48.497228,16.960603,2.310391600390239
48.61_15.95,0.03439,48.61361,15.95028,0.01908,48.61361,15.95028,0.8499279445212793
48.65_21.44,0.07465,48.653722,21.442569,0.08619,48.653722,21.442569,-0.20737823323177648
48.69_7.02,0.03652,48.69,7.02,0.02589,48.69,7.02,0.49629180008411067
