cohort_id,element_or_analyte,medium,sample_type,grain_fraction,measurement_basis,method_family,digestion_or_extraction,unit_layer,comparability_tier,n_quantified_records,n_censored_records,n_not_normalized_records,quantified_fraction,n_quantified_samples,n_sources,source_ids,dominant_source_id,dominant_source_share,n_with_coordinates,n_with_geology_match,workflow_band_high,workflow_band_medium,workflow_band_low,bbox_west,bbox_south,bbox_east,bbox_north,sampled_at_min,sampled_at_max
cohort-0cd3dff6cabd,Zn,sediment,sediment_stream,wet sieved <150 micrometres,aqua_regia_leachable_<150um_stream_sediment,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,456,0,0,1.0,456,1,foregs-stream-sediment,foregs-stream-sediment,1.0,456,446,0,456,0,-15.5555631,27.92424718,26.334653006,50.85749,,
cohort-b507ed4d12d6,Zn,sediment,sediment_stream,wet sieved <150 micrometres,total_selected_<150um_stream_sediment,xrf,pressed powder pellet,mg/kg,single_lineage_ready,456,0,0,1.0,456,1,foregs-stream-sediment,foregs-stream-sediment,1.0,456,446,0,456,0,-15.5555631,27.92424718,26.334653006,50.86,,
cohort-a67afe1da4b6,Zn,soil,soil_a_horizon,<2 mm,near-total concentration in <2 mm soil fraction,icp_oes,near-total HCl-HNO3-HClO4-HF digestion,mg/kg,single_lineage_ready,661,0,0,1.0,661,1,usgs-conus-soil,usgs-conus-soil,1.0,661,658,0,661,0,-124.132,30.4554,-85.0352,41.9863,02/17/09,10/01/08
cohort-6fa5ac275ff1,Zn,soil,soil_agricultural_ploughed,<2 mm,modified_aqua_regia_extractable_dry_soil_<2mm,icp_ms,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,mg/kg,single_lineage_ready,2108,0,0,1.0,2108,1,gemas-europe,gemas-europe,1.0,2108,1991,0,2108,0,-16.3444,28.4742,35.1536,70.5883,,
cohort-4b4cf288451f,Zn,soil,soil_agricultural_ploughed,<63 um,xrf_total_fused_bead_dry_soil_milled_<63um,xrf,fused bead preparation after milling,mg/kg,single_lineage_ready,2108,0,0,1.0,2108,1,gemas-europe,gemas-europe,1.0,2108,1991,0,2108,0,-16.3444,28.4742,35.1536,70.5883,,
cohort-889f16a48e91,Zn,soil,soil_c_horizon,<2 mm,near-total concentration in <2 mm soil fraction,icp_oes,near-total HCl-HNO3-HClO4-HF digestion,mg/kg,single_lineage_ready,661,0,0,1.0,661,1,usgs-conus-soil,usgs-conus-soil,1.0,661,658,0,661,0,-124.132,30.4554,-85.0352,41.9863,02/17/09,10/02/08
cohort-308ef305ca63,Zn,soil,soil_c_horizon,fraction < 2 mm,aqua_regia_extractable_c_horizon_soil_analysis,icp_oes,aqua regia digestion; fraction < 2 mm,mg/kg,single_lineage_ready,604,0,0,1.0,604,1,pangaea-barents-c-horizon-soil,pangaea-barents-c-horizon-soil,1.0,604,589,0,604,0,24.0498,66.393,35.4177,71.0493,,
cohort-fa7c1e86ff5f,Zn,soil,soil_grazing_land,<2 mm,modified_aqua_regia_extractable_dry_soil_<2mm,icp_ms,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,mg/kg,single_lineage_ready,116,0,0,1.0,116,1,gemas-europe,gemas-europe,1.0,116,111,0,116,0,-9.5724,35.3114,31.9145,69.4542,,
cohort-04d8a61527d6,Zn,soil,soil_grazing_land,<63 um,xrf_total_fused_bead_dry_soil_milled_<63um,xrf,fused bead preparation after milling,mg/kg,single_lineage_ready,116,0,0,1.0,116,1,gemas-europe,gemas-europe,1.0,116,111,0,116,0,-9.5724,35.3114,31.9145,69.4542,,
cohort-ed87644d7d4c,Zn,soil,soil_ground_particles_from_thawed_ice,,certified_acid_digest_soil_and_soil_inclusions,icp_ms,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,mg/kg,insufficient_background,1,0,0,1.0,1,1,pangaea-batagay-soil,pangaea-batagay-soil,1.0,1,1,0,1,0,134.771944,67.580278,134.771944,67.580278,,
